date,state,protest
5/24/2020,IL,1
5/24/2020,KY,1
5/24/2020,MD,1
5/24/2020,NJ,1
5/24/2020,NY,3
5/24/2020,OH,1
5/25/2020,IL,3
5/25/2020,KY,1
5/25/2020,MA,1
5/25/2020,NC,2
5/25/2020,NH,1
5/25/2020,NJ,1
5/25/2020,PA,1
5/26/2020,CA,2
5/26/2020,IL,1
5/26/2020,IN,2
5/26/2020,MD,1
5/26/2020,MI,3
5/26/2020,MN,2
5/26/2020,PA,1
5/26/2020,TX,1
5/26/2020,VA,1
5/27/2020,CA,2
5/27/2020,CO,1
5/27/2020,FL,1
5/27/2020,MD,1
5/27/2020,MI,3
5/27/2020,MN,3
5/27/2020,MO,1
5/27/2020,NC,2
5/27/2020,NY,2
5/27/2020,OK,1
5/27/2020,OR,1
5/27/2020,PA,1
5/27/2020,SC,1
5/27/2020,TN,1
5/27/2020,WA,1
5/28/2020,AL,2
5/28/2020,CA,8
5/28/2020,CO,2
5/28/2020,FL,3
5/28/2020,IA,1
5/28/2020,IL,1
5/28/2020,KY,1
5/28/2020,MA,2
5/28/2020,MD,1
5/28/2020,ME,4
5/28/2020,MI,5
5/28/2020,MN,5
5/28/2020,MO,1
5/28/2020,NE,1
5/28/2020,NJ,1
5/28/2020,NV,2
5/28/2020,NY,1
5/28/2020,OR,4
5/28/2020,PA,2
5/28/2020,SC,1
5/28/2020,TN,2
5/28/2020,TX,3
5/28/2020,WA,1
5/29/2020,AK,1
5/29/2020,AL,1
5/29/2020,AR,1
5/29/2020,AZ,2
5/29/2020,CA,15
5/29/2020,CO,3
5/29/2020,CT,4
5/29/2020,DC,1
5/29/2020,FL,10
5/29/2020,GA,4
5/29/2020,HI,2
5/29/2020,IA,2
5/29/2020,ID,1
5/29/2020,IL,7
5/29/2020,IN,4
5/29/2020,KS,3
5/29/2020,KY,3
5/29/2020,LA,1
5/29/2020,MA,3
5/29/2020,ME,1
5/29/2020,MI,7
5/29/2020,MN,4
5/29/2020,MO,3
5/29/2020,MS,2
5/29/2020,MT,2
5/29/2020,NE,1
5/29/2020,NM,2
5/29/2020,NV,1
5/29/2020,NY,6
5/29/2020,OH,4
5/29/2020,OK,1
5/29/2020,OR,4
5/29/2020,PA,3
5/29/2020,SC,1
5/29/2020,TN,3
5/29/2020,TX,9
5/29/2020,UT,2
5/29/2020,VA,4
5/29/2020,WA,2
5/29/2020,WI,3
5/29/2020,WV,1
5/29/2020,WY,1
5/30/2020,AK,4
